Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
monitor_e1, 1.6, 0.00308889, 0.0165117, 0.946052
monitor_e1, 1.57377, 0.00298305, 1.05049, 60.1886
monitor_e1, 1.54839, 0.00286463, 2.08772, 119.617
monitor_e1, 1.52381, 0.0027455, 3.13146, 179.42
monitor_e1, 1.5, 0.00262277, 4.18328, -120.315
monitor_e2, 1.6, 0.0102191, 0.150216, 8.60674
monitor_e2, 1.57377, 0.0103351, 1.18775, 68.0533
monitor_e2, 1.54839, 0.0104581, 2.22772, 127.639
monitor_e2, 1.52381, 0.0105794, 3.27086, -172.594
monitor_e2, 1.5, 0.0107016, 4.31927, -112.524
monitor_e3, 1.6, 0.0102191, 0.150216, 8.60674
monitor_e3, 1.57377, 0.0103351, 1.18775, 68.0533
monitor_e3, 1.54839, 0.0104581, 2.22772, 127.639
monitor_e3, 1.52381, 0.0105794, 3.27086, -172.594
monitor_e3, 1.5, 0.0107016, 4.31927, -112.524
monitor_e4, 1.6, 0.00308889, 0.0165117, 0.946052
monitor_e4, 1.57377, 0.00298305, 1.05049, 60.1886
monitor_e4, 1.54839, 0.00286463, 2.08772, 119.617
monitor_e4, 1.52381, 0.0027455, 3.13146, 179.42
monitor_e4, 1.5, 0.00262277, 4.18328, -120.315
