Source: i1
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0034885, 3.08269, 176.625
freq_monitor_out1, 1.57377, 0.00361293, 1.96163, 112.393
freq_monitor_out1, 1.54839, 0.00542049, 0.748052, 42.8602
freq_monitor_out1, 1.52381, 0.00670766, -0.422292, -24.1955
freq_monitor_out1, 1.5, 0.00675064, -1.49661, -85.7493
freq_monitor_out2, 1.6, 0.059831, -3.00498, -172.173
freq_monitor_out2, 1.57377, 0.0587471, -4.10351, 124.886
freq_monitor_out2, 1.54839, 0.0561701, -5.15302, 64.7538
freq_monitor_out2, 1.52381, 0.0524383, -6.16063, 7.02165
freq_monitor_out2, 1.5, 0.0502012, -7.08776, -46.0986
freq_monitor_out3, 1.6, 0.0316148, -1.65913, -95.061
freq_monitor_out3, 1.57377, 0.0249077, -2.37872, -136.291
freq_monitor_out3, 1.54839, 0.029477, -3.26969, 172.661
freq_monitor_out3, 1.52381, 0.0476268, -4.1663, 121.288
freq_monitor_out3, 1.5, 0.0699997, -5.08767, 68.4982
freq_monitor_out4, 1.6, 0.013764, 1.58131, 90.6023
freq_monitor_out4, 1.57377, 0.0121985, 0.241703, 13.8486
freq_monitor_out4, 1.54839, 0.0110463, -0.899802, -51.5549
freq_monitor_out4, 1.52381, 0.0118961, -2.12201, -121.582
freq_monitor_out4, 1.5, 0.0139125, -3.2237, 175.296
Source: i2
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.00965393, 3.09336, 177.236
freq_monitor_out1, 1.57377, 0.0103237, 1.81648, 104.076
freq_monitor_out1, 1.54839, 0.0108701, 0.463498, 26.5565
freq_monitor_out1, 1.52381, 0.0106569, -1.24816, -71.5145
freq_monitor_out1, 1.5, 0.00898789, -3.49624, 159.68
freq_monitor_out2, 1.6, 0.0566959, -2.17626, -124.691
freq_monitor_out2, 1.57377, 0.0604069, -3.24978, 173.801
freq_monitor_out2, 1.54839, 0.0619707, -4.32924, 111.953
freq_monitor_out2, 1.52381, 0.061406, -5.3625, 52.7513
freq_monitor_out2, 1.5, 0.0601469, -6.25085, 1.85252
freq_monitor_out3, 1.6, 0.0712023, -1.63929, -93.9245
freq_monitor_out3, 1.57377, 0.0628375, -2.65625, -152.192
freq_monitor_out3, 1.54839, 0.0505814, -3.50558, 159.145
freq_monitor_out3, 1.52381, 0.0415531, -4.26781, 115.473
freq_monitor_out3, 1.5, 0.0375646, -5.068, 69.6249
freq_monitor_out4, 1.6, 0.00892868, -1.43311, -82.1114
freq_monitor_out4, 1.57377, 0.0124332, -2.71225, -155.4
freq_monitor_out4, 1.54839, 0.0154471, -4.06672, 126.994
freq_monitor_out4, 1.52381, 0.0155427, -5.43036, 48.8632
freq_monitor_out4, 1.5, 0.0125628, -7.05581, -44.268
Source: i3
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.0116863, -1.91147, -109.519
freq_monitor_out1, 1.57377, 0.0095784, -4.88529, 80.0935
freq_monitor_out1, 1.54839, 0.00695808, -6.32096, -2.16441
freq_monitor_out1, 1.52381, 0.00541605, -7.55254, -72.7286
freq_monitor_out1, 1.5, 0.00593518, -8.63898, -134.977
freq_monitor_out2, 1.6, 0.0619425, 0.431537, 24.7252
freq_monitor_out2, 1.57377, 0.0678471, -0.628821, -36.0288
freq_monitor_out2, 1.54839, 0.0682988, -1.68021, -96.2687
freq_monitor_out2, 1.52381, 0.0654997, -2.63934, -151.223
freq_monitor_out2, 1.5, 0.0592964, -3.40891, 164.684
freq_monitor_out3, 1.6, 0.0619425, 0.431537, 24.7252
freq_monitor_out3, 1.57377, 0.0678471, -0.628821, -36.0288
freq_monitor_out3, 1.54839, 0.0682988, -1.68021, -96.2687
freq_monitor_out3, 1.52381, 0.0654997, -2.63934, -151.223
freq_monitor_out3, 1.5, 0.0592964, -3.40891, 164.684
freq_monitor_out4, 1.6, 0.0116863, -1.91147, -109.519
freq_monitor_out4, 1.57377, 0.0095784, -4.88529, 80.0935
freq_monitor_out4, 1.54839, 0.00695808, -6.32096, -2.16441
freq_monitor_out4, 1.52381, 0.00541605, -7.55254, -72.7286
freq_monitor_out4, 1.5, 0.00593518, -8.63898, -134.977
Source: i4
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.00892868, -1.43311, -82.1114
freq_monitor_out1, 1.57377, 0.0124332, -2.71225, -155.4
freq_monitor_out1, 1.54839, 0.0154471, -4.06672, 126.994
freq_monitor_out1, 1.52381, 0.0155427, -5.43036, 48.8632
freq_monitor_out1, 1.5, 0.0125628, -7.05581, -44.268
freq_monitor_out2, 1.6, 0.0712023, -1.63929, -93.9245
freq_monitor_out2, 1.57377, 0.0628375, -2.65625, -152.192
freq_monitor_out2, 1.54839, 0.0505814, -3.50558, 159.145
freq_monitor_out2, 1.52381, 0.0415531, -4.26781, 115.473
freq_monitor_out2, 1.5, 0.0375646, -5.068, 69.6249
freq_monitor_out3, 1.6, 0.0566959, -2.17626, -124.691
freq_monitor_out3, 1.57377, 0.0604069, -3.24978, 173.801
freq_monitor_out3, 1.54839, 0.0619707, -4.32924, 111.953
freq_monitor_out3, 1.52381, 0.061406, -5.3625, 52.7513
freq_monitor_out3, 1.5, 0.0601469, -6.25085, 1.85252
freq_monitor_out4, 1.6, 0.00965393, 3.09336, 177.236
freq_monitor_out4, 1.57377, 0.0103237, 1.81648, 104.076
freq_monitor_out4, 1.54839, 0.0108701, 0.463498, 26.5565
freq_monitor_out4, 1.52381, 0.0106569, -1.24816, -71.5145
freq_monitor_out4, 1.5, 0.00898789, -3.49624, 159.68
Source: i5
Monitor, Wavelength(um), Transmission(T), Phase(rad), Phase(deg)
freq_monitor_out1, 1.6, 0.013764, 1.58131, 90.6023
freq_monitor_out1, 1.57377, 0.0121985, 0.241703, 13.8486
freq_monitor_out1, 1.54839, 0.0110463, -0.899802, -51.5549
freq_monitor_out1, 1.52381, 0.0118961, -2.12201, -121.582
freq_monitor_out1, 1.5, 0.0139125, -3.2237, 175.296
freq_monitor_out2, 1.6, 0.0316148, -1.65913, -95.061
freq_monitor_out2, 1.57377, 0.0249077, -2.37872, -136.291
freq_monitor_out2, 1.54839, 0.029477, -3.26969, 172.661
freq_monitor_out2, 1.52381, 0.0476268, -4.1663, 121.288
freq_monitor_out2, 1.5, 0.0699997, -5.08767, 68.4982
freq_monitor_out3, 1.6, 0.059831, -3.00498, -172.173
freq_monitor_out3, 1.57377, 0.0587471, -4.10351, 124.886
freq_monitor_out3, 1.54839, 0.0561701, -5.15302, 64.7538
freq_monitor_out3, 1.52381, 0.0524383, -6.16063, 7.02165
freq_monitor_out3, 1.5, 0.0502012, -7.08776, -46.0986
freq_monitor_out4, 1.6, 0.0034885, 3.08269, 176.625
freq_monitor_out4, 1.57377, 0.00361293, 1.96163, 112.393
freq_monitor_out4, 1.54839, 0.00542049, 0.748052, 42.8602
freq_monitor_out4, 1.52381, 0.00670766, -0.422292, -24.1955
freq_monitor_out4, 1.5, 0.00675064, -1.49661, -85.7493
